row.ID;study.ID;continent;taxon;taxon.specific;taxon.arthropod.order;taxon.mammal.group;taxon.forest.generalist;metric;metric.specific;disturbance;disturbance.specific;matrix;distance.p.d;time;effect.direction;p.mean;p.sd;p.n;d.mean;d.sd;d.n;hedges.g*
1;1;SA;a;fruit-feeding butterflies;l;;;ric;Mean rarefied species richness (n = 1293);pla;plantation forest (Eucalyptus);nat;01.feb;4;p;108;42.86273985;5;51.38;34.14118031;5;1.319822386
2;1;SA;a;fruit-feeding butterflies;l;;;ric;Mean rarefied species richness (n = 1293);sec;secondary forest;nat;01.feb;14;p;108;42.86273985;5;83.59;35.36833441;5;0.561088126
3;1;SA;a;fruit flies;;;;ric;Mean rarefied species richness (n = 1097);pla;plantation forest (Eucalyptus);nat;01.feb;4;p;20.49;27.69862125;5;24.49;18.71410012;5;-0.152848414
4;1;SA;a;fruit flies;;;;ric;Mean rarefied species richness (n = 1097);sec;secondary forest;nat;01.feb;14;p;20.49;27.69862125;5;28;23.88567814;5;-0.26228022
5;1;SA;a;grasshoppers;;;;ric;Mean rarefied species richness (n = 84);pla;plantation forest (Eucalyptus);nat;01.feb;4;p;16.16;24.84987065;5;15.jan;19.89742729;5;0.042532575
6;1;SA;a;grasshoppers;;;;ric;Mean rarefied species richness (n = 84);sec;secondary forest;nat;01.feb;14;p;16.16;24.84987065;5;19;22.3517355;5;-0.108537674
7;1;SA;a;moths;l;;;ric;Mean rarefied species richness (n = 384);pla;plantation forest (Eucalyptus);nat;01.feb;4;p;105.56;56.01081955;5;125.91;60.96326291;5;-0.313987393
8;1;SA;a;moths;l;;;ric;Mean rarefied species richness (n = 384);sec;secondary forest;nat;01.feb;14;p;105.56;56.01081955;5;136;78.62551665;5;-0.40277921
9;1;SA;a;orchid bees;h;;;ric;Mean rarefied species richness (n = 404);pla;plantation forest (Eucalyptus);nat;01.feb;4;p;17.86;16.30361884;5;22;27.39183272;5;-0.165897206
10;1;SA;a;orchid bees;h;;;ric;Mean rarefied species richness (n = 404);sec;secondary forest;nat;01.feb;14;p;17.86;16.30361884;5;20.jan;22.30790857;5;-0.099393796
11;1;SA;p;trees and lianas;;;;ric;Mean rarefied species richness (n = 2323);sec;secondary forest;nat;01.feb;14;p;201;57.80772378;5;82.1;26.51529408;5;2.388058709
12;1;SA;m;bats;;b;;ric;Mean rarefied species richness (n = 1202);pla;plantation forest (Eucalyptus);nat;01.feb;4;p;45;16.47892657;5;30.des;17.26781135;5;0.796303885
13;1;SA;m;bats;;b;;ric;Mean rarefied species richness (n = 1202);sec;secondary forest;nat;01.feb;14;p;45;16.47892657;5;31.74;25.02517838;5;0.565277285
14;1;SA;b;;;;;ric;Mean rarefied species richness (n = 1945);pla;plantation forest (Eucalyptus);nat;01.feb;4;p;167.59;40.10164311;5;88;19.15236944;5;2.287658711
15;1;SA;b;;;;;ric;Mean rarefied species richness (n = 1945);sec;secondary forest;nat;01.feb;14;p;167.59;40.10164311;5;123.22;45.53618272;5;0.934065664
